drug_name,original_text,origin,indications,properties,dosage,contraindications,other1,other10,other11,other2,other3,other4,other5,other6,other7,other8,other9,other10_name,other11_name,other1_name,other2_name,other3_name,other4_name,other5_name,other6_name,other7_name,other8_name,other9_name,source_file
雄黄,味苦平寒、主寒热鼠瘘，恶创疽痔死肌，杀精恶物鬼邪气，百虫毒，胜五兵，炼食之，轻身神仙。,产我国西部，南省亦有。,雄黄为蚀疮杀虫要药，主辟邪气，疗诸疮，解毒，为外科要剂，亦可内服。,味辛苦，性温，有毒。,"普通内服数分，外用无定量。

> 雄黄很凶，不要过量。吃的时候用挖耳勺取用那么一小勺就行了。吃太多伤人，因为雄黄可以把脓疮里的腐肉清掉，说明它腐蚀的力量很强，用太多会伤及好肉。

> 如何入药？汤药煮好后，在里面撒一点雄黄就可以了，使用的时候一定是肚子里有虫子或者中毒才会内服。

> 如何判断腐肉清干净了？腐肉会发臭啊，如果闻不到臭味了，说明腐肉清掉了，就不要继续用雄黄了。牙医也是这样的，做根管治疗时候，把里面打通放抗生素，是否继续换药，就是用闻的，还有臭味就换，说明还有炎症，没味道就停用了。",雄黄性热有毒，外用易见长，内服难免害，凡服之中病即止，无过剂也，能柔五金干汞，转硫磺，伏粉霜（以轻粉升成之霜。）与雌黄同，或云雄黄变铁，雌黄变锡。,疗疥虫疮，鼻中息肉，及绝筋破骨，百节中大风，积聚癖气，中恶腹痛，鬼疰，诸蛇毒，解藜芦毒。,,,"风邪癫痫岚瘴，一切虫兽伤。

> 治疗虫兽伤。大明是说可治疗一切虫兽伤。",搜肝气，泻肝风，消涎积。,"按雄黄于疮痬螫外科，最为急用，以其性能杀虫解毒也，吴俗于五月五日饮雄黄酒，并洒之室角以驱五毒，但须要知道雄黄虽有腐蚀之力，能蚀恶肉以杀虫治疮，但过用终不免侵蚀好肉，故不可多服，外科亦须审慎使用。


著名方剂有

安虫丸（干漆雄黄巴豆霜），治吐沫水后腹中必虫痛。

雄黄解毒丸（巴豆雄黄玉金）治急喉痹咽喉不通，胸膈气促，

> 治疗喉痹。就是咽喉不通，有可能是喉癌或者舌癌，这时候用巴豆雄黄玉金，这都紧急时候用的药，平常不要吃，没事吃个巴豆很可怕的。巴豆和雄黄打碎放一起攻坚力量很强，玉金是个中和的药，能让气散开来，这三味药下去就相当于在喉咙里硬打个洞。

金锁匙（朴消雄黄大黄）治一切风热，咽喉闭塞为末，吹入喉中。

> 又一治疗喉痹。除了上面的方子，还可以用朴硝，就是做炸药的硝石，几颗放到喉咙里也能打开。",,,,,,,,别录,大明,好古,吴克潜,,,,,,143.雄黄.md
石硫黄,味酸温，主妇人阴蚀，疽痔恶血，坚筋骨，除头秃，能化金银铜铁奇物。,"产火山地带。

> 硫磺产在火山口。所以它是大热的药，比附子还热，是很凶的药。

> 硫磺、肉桂粉分别啥时候用？听到患者双脚无力，就用硫磺，之前还讲过肉桂粉，肉桂是木头啊，火苗还有时候你丢进去木头它会更旺，用肉桂粉行，如果将近油尽灯枯，火快灭了，再丢木头，直接就把火搞灭了，这时候要浇油，才能让火燃起来，硫磺和生附子都有这个能力。

>‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍‍ 所谓火指的就是命门火，命门火不够的时候下肢就会没有力量。此外硫磺入三焦可利水，水肿的时候也要用硫磺。

> 葛洪的金液丹。金液丹是就是单用硫磺，用来回阳救逆的药。怎么炼制呢？把石硫磺放在铁锅里小火烤三天三夜，之后把烤过的硫磺粉刮下来放到铅制罐子里埋在土里七天七夜，这步可以去火毒，之后拿出来再烤再放铅罐再埋，经过两次煅烧后，就会变成颗粒状，带在身上可以急救用了。‍‍‍","硫磺为补阳要药，主治脾胃虚寒，寒痹冷癖，命门火衰，能发汗以祛寒痰，及疏利大肠，通常性便秘，杀虫，治疮疥。

> 疏肝的两种思路。之前讲桑寄生的时候讲过它的疏肝原理，有点像自然界的台风，森林太密了，每年刮场台风把枝条修理一下，树木才能长得好，这是大自然的一种良性循环；还有一种方法是用火烧，大火过后，森林也会长得很好，石硫磺就属于这种能烧起来的大热的阳药。

> 啥叫补阳的药？中医认为脏为阴，腑为阳，脏者，藏也，是储存东西的器官，脏病就是里面藏了不好的东西，比如肿瘤长在里面了，不断吸收营养肿瘤越长越大，这时候就要用峻补的阳药把里面东西清出来。因为阳是脏的力量，力量增强了，里面不好的东西才能被清出来。","味酸，性温，有毒。

> 硫磺是大热药。这里讲硫磺味酸，拿起来尝尝，它是有一点酸的，酸味主收敛；后面讲性温，不准确的，它是大热的药。","普通五分至二钱。

> 硫磺如何入药？硫磺我们一般用硫磺粉，凡是粉状的药，煮的时候用棉布包起来煮。

> 硫磺的用量。重症的时候可以重用。不是急救的话就不要重用。即使重用也不会让人危险，它是大热药，人会心跳很快，很亢奋，吃点鸭肉就好了。","硫磺为救急妙药，但中病便当已，不可尽剂，畏细辛朴消，中硫磺毒，黑铅煎汤解之，或是食鸭肉可解之。

> 硫磺中毒咋办？硫磺中毒会出红色疹子，当然不是人人都会中毒，中毒也不会死，吃点鸭肉就好了。大家在使用峻剂的时候，一定知道如何收放才能用起来游刃有余。重病用硫磺不要停，急症就放心用，不要禁忌了，吃了不适就吃点鸭肉补救。

> 如何得到砒霜？雄黄加热后，变成黑色，就是砒霜。",疗心腹积聚，邪气冷痛在胁，咳逆上气，脚冷疼弱无力，及鼻衄，恶疮下部虫疮，止血杀疥虫。,,,"下气，治腰肾久冷，除冷风顽痹，寒热，生用治疥癣，炼服主虚损泄精。

> 生用或熟用硫磺。生用硫磺可以治疗疥癣，炮制过用补阳的力量很强比较滋补，所以生用的话一般是攻坚，比如肝癌，熟用的话多为虚症，比如阳不举、精不够。生用的话硫磺很峻，吃下去一刻钟就有反应，速度很快。熟硫磺治疗阳不举，如果你用了巴戟天、肉苁蓉、菟丝子、覆盆子都没啥用，那就用熟硫磺，熟硫磺再不管用，就不要治了。

> 如何炮制？过去是用酒精去煮，棉布把硫磺包好，放到酒精里去煮，煮后再泡，再煮，一般重复三次，这成本高，因为酒贵。还有一种是用甘草和硫磺一起煮，也要煮三天三夜。",壮阳道，补精骨劳损，风劳气，止嗽，杀脏虫邪鬼。,治妇人血结。,长肌肤，益气力，老人风秘，并宜炼服。,"能燃，是水中之火也，其味酸，是得木味，水中之阳，发则为木，故味酸而能燃，又是水中之木也，为温下焦肝肾之猛药。

> 唐容川说硫磺能燃，何意？倪老师讲了一个医案，患者是个厨师，每天在厨房工作一站十几个小时，这样持续了十几年，久站伤骨，肾不好，厨房里面又很热，搞得全身水肿，还有呼吸短促的问题。

> 给他开药时候就加了一味硫磺，患者体格比较大，加了5钱，吃药一刻钟后开始全身冒汗，变得跟气球一样，患者很胖，原来上楼很费劲的，吃药俩礼拜后人瘦了20多磅，神清气爽了。

> 这个案例就是讲到硫磺可燃，体内的水都气化了，原理大家可以这么理解，硫磺是黄色，三焦油网也是黄色，所以硫磺肯定入三焦，三焦就是脏腑之间的连接，三焦通畅，脏腑才能循环，又《黄帝内经》讲，三焦是决渎之官，水道出焉，所以三焦通利才能把水排出来。

> 水在体内如果是冷水，它就会积聚，令人水肿，一旦用了阳药，它就会热起来，就会气化，水肿就会解决了，这就是这个病例用硫磺的道理。

> 石硫磺是温下焦肝肾的猛药‍‍‍‍。所以肝肾阴实时候用硫磺最合适，所谓【实】，就是里面长东西了，又阴寒，又有肿瘤，这很不好办的，所以《金匮要略》有说【阴实则死】，也就是张仲景认为阴实症就是死症，张仲景是北方人，没见过硫磺，所以他没用过，其实硫磺对付阴实症很好用的。",驱寒燥湿。杀虫化金。,,,,,别录,甄权,大明,吴普,李珣,容川,灵胎,,,144.石硫磺.md
雌黄,味辛平，主恶创头秃痂疥，杀毒虫虱，身痒邪气，诸毒炼之，久服轻身，增年不老。,产地同雄黄。,,味辛性平有毒主恶疮杀虫虱，身痒，邪气诸毒，治身面白驳，散皮死肌，血气虫积心腹痛，为外科要药，与雄黄功相仿。,,,,,,,,,,,,,,,,别录,,,,,,,,,145.雌黄.md
水银,味辛寒，主疥瘘痂伤白秃，杀皮肤中虱，堕胎，除热，杀金银铜锡毒，镕化还复为丹，久服神仙不死。,产山西陕西山中。,"水银为杀虫要药，主治杨梅疮毒，及皮肤诸病，润肠下死胎。

> 啥叫杨梅疮？就是指的性病。这也不是非得用水银，还有其他药来治疗。","味辛，性寒，有毒。

> 水银性寒。非常寒，如果用水银做成水银袋包裹男人阴茎，会导致永远不举。","普通多配合丸散方用，内服约数分，外用无定量。

> 水银的用量。水银有毒，且性很沉，毕竟是金属，用的时候几分就好，一点点。","水银性沉，与金银诸物同，吞服金银水银者，皆足以致命，饵服者须慎之。

> 倪老师说他几乎没用过水银。",以傅男子阴，阴消无气。,,,利水道，去热毒。,"主天行热疾，除风，安神，镇心，治恶疮疥，杀虫，催生下死胎。

> 水银可以堕胎。",治小儿惊痫热潮。,除湿热，解疮毒。,,,,,,,别录,藏器,大明,宗奭,灵胎,,,,,146.水银.md
石膏,味辛微寒，主中风寒热，心下逆气，惊喘口干，舌焦不能息，腹中坠痛，除邪鬼，产乳金创，又名寒水石。,产浙江江苏山东，他省亦有出产。,"石膏为清凉解热要药，主治肺胃三焦气分之热，大渴热狂，能解肌发汗，又能清热止汗。

> 石膏是清凉解热要药。可以治疗肺、胃、三焦的热，入气分，大热狂渴时能解肌发汗。

> 渴症去按照糖尿病治疗就坏事了‍‍‍‍。渴症去找西医，会按照糖尿病治，刚开始吃药，后来就得打胰岛素。中医认为大热、燥渴，就是白虎汤症，用石膏下去解肌发汗，淮山莲子可以生津，如果尿频了，再加点补肾的药，譬如巴戟天、肉苁蓉、生地之类，这就好了。","味甘辛，性微寒，无毒。

> 石膏性大寒。前面讲的石硫磺大热，这里讲石膏大寒，是的，凡是治病的药，不是大热就是大寒。

> 小编：感觉石膏小寒，主要靠量大，动不动一两往上的用，药效可以叠加。犀角算大寒，一点点就能退大热了。

> 小编：石膏是大阳药，可以去肺中的浊物。疏通胃经，下气，治乳头下的乳癌，所以糖尿病也需要。","普通三钱至五钱，大剂二三两。

> 石膏的用量：白虎汤要大量用。一般中医用石膏觉得一两就够，差不多33克，倪老师认为大小青龙汤可用五钱、八钱，但如果是白虎汤，病进入阳明的时候（病刚开始在太阳，不治的话就进入阳明，进而少阳、太阴、少阴、厥阴），阳明症只热不寒，病人想喝最冰的水，那么石膏起手就是四两，甚至要用到八两、十两、十二两，十四两。

> 重用石膏还是越来越热，就要热极生寒。当用到十四两石膏，还是热的时候，就要改变思路，热极生寒，改用热药，这时候生附子下去，就会降温。

> 注：一般的大夫不敢重用石膏，其实只要辩证准确，可大胆的用。

> 石膏如何入药？跟石硫磺一样，是金石类的药，打粉装在棉布包里放进去煮。","伤寒中风太阳症，少阳症之往来寒热等均忌，真寒假热之症或因里虚引起之虚热症亦忌，有金疮下乳亦忌，胃家寒症者亦忌，恶巴豆畏铁。

> 病人觉得冷不可用石膏。很简单的道理，石膏是寒药啊，治疗热症。热症比较明显的特征是，热、渴、食欲很大、便秘。如果是虚寒症就不要用石膏了。",除时气头痛身热，三焦大热，皮肤热，肠胃中结气，解肌发汗，止消渴烦逆腹胀，暴气喘息，咽热，亦可作浴汤。,,,"治伤寒头痛如裂，壮热皮如火燥，和葱煎茶去头痛。

> 如何形容大热呢？甄权说，壮热皮如火燥。","治天行热狂头风旋，下乳，揭齿益齿。

> 石膏可以下乳。大明说能下乳，因为乳头正在阳明胃经上。",止阳明经头痛，发热恶寒，日晡潮热，大渴引饮，中暑潮热，牙痛。,"得石之性多，味虽咸而不甚，且此山之石即能生水，流而为泉，是故此石纯具水性，禀天水之寒，故能清热。

> 为何石膏清热力强？唐容川说石膏得石性，又得水湿，所以清热力量很强。",主治烦渴，旁治谵语烦躁身热。,,,,,,别录,甄权,大明,元素,容川,药征,,,,147.石膏.md
慈石,味辛寒，主周痹，风湿肢节中痛不可持物，洗洗，酸消，除大热，烦满及耳聋，今名磁石。,产山中能吸铁。,"磁石为补肾强阴要药，取其能引肺气入肾，使阴阳安宅，镇惊，明目，通耳，益精。

> 气喘如何判断是哪里的问题？呼吸有呼气，有吸气，吸一口气通畅的话是先吸到肺再到肾，如果只能吸到肺就呼出去的话，就会造成气喘，这种要治疗肾（金生水受阻）；呼气跟肾没关，就是肺的问题。所以吸气困难治疗肾，呼气困难治疗肺。‍‍‍

> 当吸气没法到达肾的时候，我们就通过药物来帮助，磁石就是其中一种，能够把气沉到肾。你如果只开治疗肺的药，患者会感觉气喘好一些了，怎么肾脏痛，这是因为气没有归元，加点补肾的药就好了。

> 磁石有吸引、慈爱的意味，而磁石治疗金生水受阻导致的气喘，相当于母生子出问题，正符合磁石吸引慈爱的意象。‍‍‍‍‍‍‍‍‍

> 因为磁石是沉降的药，能够镇惊。

> 过去有用磁石泡酒，可以补肾壮阳。",味辛，性寒，无毒。,入煎剂二钱至四钱，水飞用三分至八分。,"凡石药皆有毒，独磁石冲和无悍猛之气，然体重，难于消化，渍酒优于丸散，凡使火炙醋淬，研末水飞，或醋煮三日夜用，恶丹皮杀铁消金。
久则化铁，为铁之母，药性为，石属金，铁为水，故磁石本兼金水两性，而归于肾，故其主治肾，能自肾中吸引肺金之气，以归于根。",养肾脏，强骨气，益精除烦，通关节，消痈肿鼠瘘，颈核喉痛，小儿惊痫，炼水饮之。,,,补男子肾虚风虚身强，腰中不利，加而明之。,治筋骨羸弱，补五劳七伤，眼昏，除烦躁，小儿误呑针铁等，即研细末以筋肉莫令断与末同呑下。,补肾降火，强筋壮骨。,捡去杂质，捣碎，置铁锅中，煅透，趁热倒入醋渍淬，取出晾干，研粉即得。,,,,,,,别录,甄权,大明,灵胎,炮制,,,,,148.慈石.md
凝水石,味辛寒，主身热腹中积聚邪气，皮中如火烧，烦满水饮之，久服不饥，又名寒水石。,生于卤地积盐之下，精液渗入土中，年久至泉，结而成石，清莹如水晶，亦有带黑色者。,凝水石主明目固齿凉血降火，时气热盛，腹中积聚，疗汤火伤（烧研敷）。,味辛亦做咸，性寒，无毒。,"普通煎剂一钱至三钱。

> 用量一般比较少，这个盐田里出来的东西，特别咸，多了吃不进去的。",性寒，虚寒之体不宜，入肾走血，除热之功与诸盐同，畏地榆，解丹石巴豆毒，制丹砂，伏玄精石。,"除时气热盛，五脏伏热，胃中热，止渴，水肿，小腹痹。

> 天然盐可以利水。别录说的止渴，水肿，就是这个原理，吃天然的海盐、青盐、岩盐，也有这个效果，但人工盐就不行了，精炼盐越吃越水肿",,,压丹石毒风，解伤寒劳复。,,,,,,,,,,别录,甄权,,,,,,,,149.凝水石.md
阳起石,味咸微温，主崩中漏下，破子臧中血，症瘕结气，寒热腹痛，无子，阴痿不起，补不足。,产深山山谷，或曰，惟齐山有之。,"阳起石为补命门壮阳道要药，功能疗阴痿，男女下部虚冷，补不足。

> 阳起石是补命门壮阳的药。男女都可以用，所谓壮阳的阳，指的是力量，阳不是火。

> 阳和火有啥不一样？火是能看到，闷在里面的，能燃烧的，阳是太阳的光和热，我们知道地底下很热，那叫火，地面上很热，那叫阳。

> 阳起石是壮阳的，石硫磺是点命门火的。","味咸，性微温，无毒。

> 阳起石和凝水石的咸不一样。凝水石是盐田里的咸，能催吐但不能攻坚，阳起石是可以攻坚的。子宫卵巢癌，大肠癌，都会用到阳起石。","普通水飞用，五分至一钱。

> 无毒，重用1-3钱也可。","凡阴虚及阳痿属于失志，以致火气闭密，不得发越而然，与崩漏由于火盛，而非虚寒者，均忌，忌羊血，凡使用火灸酒淬七次，研细水飞用，不入汤药，又石药冷热皆有毒（因不易消化），非可久服之物。为云母石之根，其山冬不积雪，夏则生云，积阳上升，故凡病人阳气下陷，阳物不举者，用以升举阳气，此以阳助阳。

> 阳药用在虚寒症最好。这就是它的禁忌，但凡有点热，不管是虚火实火，就不好用，纯虚寒症才对症。",疗男子阴头寒，阴下湿痒，去汗臭，消水肿，令人有子。,,,补肾气，精乏腰痛，膝冷湿痹，子宫久冷，冷症寒瘕，止月水不定。,治带下瘟疫，冷气，补五劳七伤。,"补命门火不足。

> 好古又说能补命门火，实际上真补命门火，还是用石硫磺。阳不足用阳起石。",助阳益气。,拣去杂质，捣碎，置铁锅中，煅透，趁热倒入酒渍淬，取出晾干，研粉即得。,,,,,,别录,甄权,大明,好古,灵胎,炮制,,,,150.阳起石.md
孔公孽,味辛温，主伤食不化，邪结气，恶创疽瘘痔，利九窍，下乳汁。,,,,,,,,,,,,,,,,,,,别录,,,,,,,,,151.孔公孽.md
殷孽,味辛温主烂伤瘀血泄利寒热鼠瘘症瘕结气，今少用。,,,,,,,,,,,,,,,,,,,别录,,,,,,,,,152.殷孽.md
铁精,平主明目，化铜铁落，味辛平，主风热，恶创，疡疽创痂，疥气在皮肤中，铁主坚肌耐痛。,铁精或铁落为錬铁时锤打所落之皮甲。,"铁精为解热，安神，补血药，能除风热，治风痉，癫痫，善怒发狂。

> 治疗发狂。《黄帝内经》也提到过，生铁精可以治疗精神病，比如神志不集中，发狂，癫痫，善怒之类，如果是阳明症的发狂，就是有便秘症状的，不用生铁精，大小便正常的才用。

> 小编：打铁花的生铁落。这个可是治疗狂躁症、癫痫、精神病非常好的一味药。（柴胡加龙骨牡蛎汤，里边的铅丹，可以用生铁落代替，效果非常好，还没副作用）

> 用的时候也是棉布包起来煮汤喝就可以，味道有点辛辣，用量可以一钱至三钱包在袋子里，六碗水煮成两碗就可以，直接喝，不需要加别的。

> 这种金石类的药都比较沉，病人吃过之后要问问有没有下痢，没有就很好了。

> 铁精一般就这样单味使用来治疗精神病。凡是出现在《黄帝内经》或者经方里的方子，效果都比较快。",味辛，性平。,普通内服一厘至五厘，煎服者虽数钱亦可，近时多用以融化他药中服之。,铁性重坠，有碍消化，服原质者宜慎之，患肿者服之，一生须忌盐。,除胸膈中热气，食不下，止烦，去黑子，可以染皂。,,,治惊邪癫痫，小儿客忤，消食及冷气。,炒热投酒中饮，疗贼风痉，裹以熨腋下，疗狐臭有验。,,,,,,,,,别录,大明,苏敬,,,,,,,153.铁落.md
理石,味辛寒，主身热利胃，解烦益精，明目，破积聚，去三虫。,,,,,,,,,,,,,,,,,,,别录,,,,,,,,,154.理石.md
长石,味辛寒，主身热，四肢寒厥，利小便，通血脉明目去翳眇，下三虫，杀蛊毒久服不饥。,,,,,,,,,,,,,,,,,,,别录,,,,,,,,,155.长石.md
肤青,味辛平，主虫毒及蛇，菜肉诸毒，恶创。,,,,,,,,,,,,,,,,,,,别录,,,,,,,,,156.肤青.md
干姜,味辛温，主胸满咳逆上气，温中止血，珠汗，逐风湿痹，肠澼下利，生者尤良，久服去臭气通神明。,处处有之，即以母姜切片，在冬日于风日中透干制成者。,"干姜为除寒散结要药，主温中逐寒，回阳通脉，治四肢逆冷，中寒霍乱，冷痛疝气，
寒泻腹痛，开脏腑，宣脉络。

> 为啥说干姜回阳通脉？肺是阳气聚集的地方，所以一个人有无力气，跟肺关系最大，手太阴肺经过拇指，所以人五根手指，大拇指力气最大。

> 中医认为阳要失去的时候，就是回阳救逆的时候，让肺气回头，让阳气回头，会用到干姜。","味辛，性温，无毒。

> 为啥肺家寒症多用干姜？因为辛味药入肺，温药去寒。热症用寒药，寒症用热药，这都一般原则。

> 如何区分寒热？‍‍‍‍一个人咳嗽，问口渴么，不渴就是寒，很渴就是热；还可以看舌头，舌苔白是寒，舌苔黄燥是热。

> 一人咳嗽吐血是寒是热呢？这南北派看法不同，温病派认为吐血就是热症，统统用寒药，倪老师认为正因为里寒很盛才吐血，所以要开大温大热药。

> 原理大家可以联想，北方冬天水管冻破裂，正是因为太寒了，水管才爆掉，吐血是一个道理。所以咳嗽吐血用寒药会吐的更严重。

> 所以只要咳嗽吐血就要想到干姜。","普通一钱至三钱，大剂上两许。

> 干姜的用量。倪老师说他一般起手用两钱，不愿意开到三钱是因为它太辣，但急救的时候会重用。",生姜干姜炮姜禁忌同，久服伤阴损目，误服劫津耗液，凡阴虚内热，阴虚咳嗽吐血，表虚有热，汗出自汗盗汗，脏毒下血，因热呕恶，火热胀痛均忌。,寒冷腹痛，中恶霍乱胀满，风邪诸毒，皮肤间结气，止唾血。,,,治腰肾间疼痛冷气，破血去风，通四肢关节，开五脏六腑，宣诸络脉，去风毒冷痹，夜多小便。,消痰下气，治转筋吐泻肠脏，反胃干呕，瘀血扑损，止鼻红，解冷热毒，开胃消宿食。,主心下寒痞，目睛久赤。,"干姜炮制则温而不烈，性轻而上浮，而四逆理中，则干姜不炮，取其性烈，乃能去寒，能温土中之阳，阳出则阴消，为治寒湿之药，补火之药是火能化水也，故能行血。能补脾之火，是以土治水。

> 理中、四逆为何用不炮制的干姜？唐容川认为炮制过的干姜，就是在锅里炒过的，性温而不烈，药性清而上浮，但是理中汤、四逆汤都得生用干姜，不能炮制，就是看中干姜的烈性，才能去里寒。

> 为何干姜能利水？干姜是黄色的，姜也是生长在土里的东西，所以对脾很好，那任何能补脾的东西都能利水，所以干姜也能汽化水，也能治疗水肿。","主治结滞水毒也，旁治呕吐咳，下利，厥冷，腹痛，胸痛，腰痛。

> 啥叫结滞水毒？就是身体里有积水，上面讲过干姜利水的原理了。四肢积水、腹水、皮肤积水，都可以用干姜。",驱寒除湿，和血通气。,,,,,别录,甄权,大明,好古,容川,药征,灵胎,,,157.干姜.md
枲耳实,味甘温，主风头寒痛，风湿周痹，四肢拘挛痛，恶肉死肌，久服益气，耳目聪明，强志轻身。,,,,,,,,,,,,,,,,,,,别录,,,,,,,,,158.枲耳实.md
葛根,味甘平，主消渴，身大热，呕吐，诸痹，起阴气，解诸毒。葛谷，主下利，十岁以上。,"处处有之，江浙尤多，花名葛花，子名葛谷，根制粉名葛粉，捣汁名葛汁，均入药。

> 葛树在江浙一带比较多，葛花、葛谷、葛粉、葛汁都能入药。经方里用的最多的是葛根。","葛根为发汗解肌升阳散火要药，主消渴大热，伤寒中风，治头痛，泄泻，开胃气，解酒毒。

> 用葛根的典型症状是啥？项强。就是脖子僵硬的时候，脖子这里有膀胱经，有督脉，很多经络缠绕在这儿，跟葛根攀缘的状态很像，所以项强是葛根主治的。

> 经方里有六经辨症，分太阳、少阳、阳明、太阴、少阴、厥阴，葛根汤主太阳证，太阳证就是温病。

> 啥叫太阳证-冬伤于寒，春必温病？就是温病，冬伤于寒，冬天没把身体的保暖做好，受了风寒，春天就得温病。那温病也不是全部是冬天得的，比如有的小孩在外玩耍满身大汗，然后跑到通风的走廊去吹凉风，并且喝冰水吃冰棍，这种在运动后伤了津液的情况下受寒就是伤于冬，津液丧失而得了风寒就是温病。葛根汤常用于小儿症。

> 升阳散火-发水痘的例子小孩生水痘的时候，中医认为是一种胎毒，一开始会有闷烧，这时候也会用到葛根汤，因为能升阳散火，帮助把体内的热发出来，等烧退了，水痘也发出来了，也能开始吃东西了。

> 消渴大热。大热并且渴，说明上焦津液干枯了，葛根可以升提津液。

> 治疗痉病‍。这个病就是忽然晕倒，全身绷紧角弓反张，这是因为脑部的津液没有了，所以会摸到头是凉的，津液都堵在脖子那里，津液不足的时候人就会抽筋，抽搐起来像癫痫一样，这时候也要靠葛根汤，把津液从肾脏提升起来送到头部。治疗时候用量拿不准的时候，可以用五钱六钱，津液不怕多，不会吃成脑积水，脑部津液补充上了，抽搐会马上缓解。",味甘，性平，无毒。,普通二钱至六钱。,多用反伤胃气，升散太过也，丹溪曰已见红密点，不可服葛根升麻，恐表虚反增斑烂。,疗伤寒中风头痛，解肌发表出汗，开腠理，疗金疮，止胁风痛。,,,治天行上气呕逆，开胃下食，解酒毒。,治胸膈烦热发狂，止血痢，通小便，排脓破血，傅蛇虫毒，毒箭伤。,杀野葛巴豆百药毒。,"生者堕胎，蒸食消酒毒，可断谷不饥，作粉尤妙。

> 藏器说生用可以堕胎。

> 蒸的吃可以解酒毒。

