drug_name,original_text,origin,indications,properties,dosage,contraindications,other1,other10,other11,other2,other3,other4,other5,other6,other7,other8,other9,other10_name,other11_name,other1_name,other2_name,other3_name,other4_name,other5_name,other6_name,other7_name,other8_name,other9_name,source_file
> 便秘高烧怎么办？倪老师说他用大承气，先把大便攻出来。",,,,,,别录,甄权,大明,元素,好古,容川,,,,171.知母.md
贝母,味辛，平，无毒。治伤寒烦热，淋沥邪气，疝瘕。喉痹，乳难，金疮，风痉。,产四川山西等地，为圆球形之根。色白入药，今浙江亦有之，称浙贝母，功用稍异。,"贝母为袪痰治咳要药，功能散结泄热，润肺清火，治烦热疮疡。

> 贝母是祛痰的要药。因为它是辛苦味能够散，能够泻，且色白入肺。","味辛苦，性平无毒。

> 贝母是辛辣的，所以入肺，并主发散。",普通钱半至三钱。,寒湿痰食痰嗽，湿痰在胃，恶心欲吐，痰饮作寒热，脾胃湿痰作眩，及痰厥头痛，中恶呕吐，胃寒作泄，法宜用辛温燥热者，均忌贝母。,疗腹中结实，心下满，洗洗恶恶，风目眩项直，咳嗽上气，止烦热渴，出汗。,,,"消痰润心肺。末和沙糖丸含之，止嗽，烧灰油调，传人畜恶疮，敛疮口。

> 贝母收敛疮口的传说。据说有人手臂上生疮，这疮是人面疮，长得像人，还会吃东西，你喂它啥它就吃啥，甚至桂枝、附子、乌头都被它吃掉了，但是当吃掉贝母的时候，它从此就缩起来了，所以贝母可以收敛疮口。",色白性平，利胸肺之痰气。,主治胸膈郁结痰饮。,,,,,,,,别录,大明,容川,药征,,,,,,172.贝母.md
白芷,味辛，温，无毒。治女人漏下赤白、血闭、阴肿、寒热、风头侵目泪出，长肌肤。润泽。可作面脂。,处处有之，根有轮节或隆起，外面色淡黄褐。气味甚香。,"白芷为散风表汗要药，功能通窍去湿，疗风行血，止头痛，和肠胃，烧之辟邪气。

> 白芷是散风的药。因为它是辛味，主发散。",味辛，性温，无毒。,"普通五分至钱半。

> 白芷用量。白芷能美容养颜，多吃点都可以的，用到5钱都行，白芷里有油脂，可以增润皮肤。",呕吐由于火，漏下赤白，阴虚火炽。病由血热所致者，均忌。恶旋覆花，制雄黄硫黄。,疗风邪，久渴吐呕，两胁满，头眩目痒。,,,能蚀脓，止心腹血刺痛，女人沥血腰痛血崩。,治目赤努肉，去面皯疵瘢，补胎漏滑落，破宿血，补新血，乳痈，发背，一切痈疮疥癣，止痛排脓。,"解利手阳明头痛，中风寒热，及肺经风热，头面皮肤风痹燥痒。

> 啥是手阳明头痛？就是额头痛。","驱风燥湿。

> 祛风的药为何能燥湿？因为风能胜湿，有湿气的地方风吹一吹就好了，所以能够祛风的药也能燥湿。","白芷辛香，色白入肺，入阳明陉，根性又主升，故能升散肺与阳明之风寒。

> 白芷升散肺与阳明风寒‍。所以白芷可以治疗胃经上的问题，比如前额头痛、青春痘，比如奶水、乳房的问题。",,,,,,别录,甄权,大明,元素,灵胎,容川,,,,173.白芷.md
淫羊藿,味辛，寒，无毒。治阴痿，绝伤，茎中痛，利小便，益气力，强志。一名刚前。,产四川北部，据云其地有淫羊，一日百遍合，乃食此霍所至，叶为卵圆形类杏叶，入药。,"淫羊霍为壮阳益精要药，功能治阳痿茎痛，坚筋骨，利小便。

> 淫羊藿是壮阳益精的药。可以治疗阳痿，茎痛。","味辛苦，性温（或作小寒）

> 苦味能坚，辛味发散，性温可以滋补。

> 为啥性温的药滋补。大家总听过温补、热补，没听过寒凉补，所以滋补的药通常是温热的。",普通钱半至三钱。,"凡虚阳易举，梦遗不止，便赤口干，强阳不痿均忌。得酒良。

> 禁忌就是虚阳的跟阳强不倒的不要用，这种情况要想法把阳消下去。

> 滋补的药酒。米酒里泡点淫羊藿，巴戟天，肉苁蓉，覆盆子，夏天开始泡，冬天打开吃，很滋补，但也不要吃太过，阳强不下也是病。",坚筋骨，消瘰疬赤痈，下部有疮，洗出虫，丈夫久服，令人有子。,,,"治丈夫绝阳无子，女人绝阴无子，老人昏耄，中年健忘，一切冷风劳气，筋骨挛急，四肢不仁，补腰膝，强心力。

> 淫羊藿男女都可用。中药没有男女荷尔蒙的概念，只是分阴阳，所以男女都可以吃淫羊藿来滋补，文中说男女吃了可以治疗无子的问题。",,,,,,,,,,别录,大明,,,,,,,,174.淫羊藿.md
黄芩,味苦，平，无毒。治诸热，黄疸，肠澼，泄利，逐水，下血闭。恶疮，疽蚀，火疡。一名腐肠。,产山谷间，亦为园圃之多年生草，根深黄色带褐。,"黄芩为清热要药，功能去心肺大小肠诸经之热，肝胆之火。主治黄疸，肠澼泄利，风热，湿热：天行热疾，女科养阴安胎。

> 黄芩清热。主治写黄芩可以去心肺大小肠的热，肝胆的火，还可以治疗下痢。

> 黄芩治疗热性的下痢。因为黄芩是清热的药，如果是寒性下痢就别用。

> 如何区分下痢的寒热？看大便臭不臭，比如吃进去玉米，排出来的还是玉米，这是寒性下痢，如果拉出来的消化了，但是特别臭，那就是热性的，可以用黄芩。

> 黄芩治疗肝癌肝硬化。病到这个程度，通常是寒热病结，又得用去热的药，也得用去寒的药，黄芩就是帮助去肝胆火的。黄芩也可治疗胆结石。

> 为啥怀孕时候可以吃黄芩养胎？因为怀孕时候，一般是一人吃俩人补，这时候多出现热症。","味苦，性平，无毒。

> 黄芩苦味药，可以泻热。",普通钱半至三钱。,过服损胃，血虚寒中者忌。,疗痰热，胃中热，小腹绞痛，消谷，利小肠，女子血闭，淋露下血，小儿腹痛。,,,"治热毒骨蒸，寒热往来，肠胃不利，破壅气，治五淋，令人宣畅，解热渴。

> 啥叫寒热往来？就是患者会讲，一会冷一会热。","黄芩味苦，中多空虚，有孔道，人身惟三焦；是行水气之孔道主相火，故主清相火，

> 为何黄芩可行水气之孔道。大家看黄芩的样子，中间有孔道的。

> 为何黄芩能入胆。大家看黄芩的颜色，真的黄芩是黄色中间有一点点青色，青色入肝胆。

> 胆汁是绿色。如果有小孩大便是绿色，或者哺乳期奶水是绿色，那就是胆汁，治疗胆相关的病都会用到黄芩。

> 为啥五淋小便痛也能用黄芩？大家想肝经是从头络到睾丸，黄芩入肝胆，所以跟小便相关的热，也可用黄芩。","治心下痞也，旁治胸胁满，呕吐下利也。

> 心下痞。心下也包括胃，所以呕吐也能用黄芩。

> 举例心下痞症状。比如病人微微发烧，浮脉，《黄帝内经》讲浮脉是表，也就说开点发表的药就好了，这时候病人肚子还有点饿，结果吃了不太新鲜的食物，造成下痢，结果表邪下陷就成了心下痞。治表症的时候一般不可以攻下，要先解表再攻里，结果不小心吃坏肚子，这时候太阳病变少阳病，堵在胸肋之间，就可以用点黄芩。",清热止利。,,,,,,,别录,甄权,容川,药征,灵胎,,,,,175.黄芩.md
狗脊,味苦，平，无毒。治腰背强。关机缓急，周痹，寒湿膝痛。颇利老人。一名百枝。,产山野湿地自生之宿根草，根黑色，长而多岐似狗脊，故名。,狗脊为益气血，强筋骨要药，功能治肝虚肾亏，脚弱腰痛，筋肉拘急，失溺淋露。,味苦甘，性微温（或作平），无毒。,普通钱半至三四钱。,肾虚有热，小水不利或短涩黄赤，口苦舌干，均忌，恶香附败酱草,疗失溺不节，男女脚弱腰痛，风邪淋露，少气，目暗，坚脊，利俯仰，女子伤中关节重。,,,"男子女人毒风软脚，肾气虚弱，续筋骨，补益男子。

> 补益男子。就是男人吃了补肝补肾，很滋补。",去寒湿，强筋骨。,,,,,,,,,别录,甄权,灵胎,,,,,,,176.狗脊.md
石龙芮,味苦，平，无毒。治风寒湿痹，心腹邪气，利关节，止烦满。久服轻身、明目、不老。一名鲁果能。一名地椹。,产山东等地，生川泽石边，子入药。,石龙芮主治风寒湿痹，利关节，养胃气，能强阴益精。,味苦，性平，无毒。,普通一钱至三钱。,宜大戟为使，畏茱萸蛇蜕皮。,平肾胃气，补阴气不足，失精茎冷，令人皮肤光泽有子。,,,逐诸风，除心热燥。,,,,,,,,,,别录,大明,,,,,,,,177.石龙芮.md
茅根,味甘，寒，无毒。治劳伤、虚羸，补中益气，除瘀血、血闭、寒热，利小便。其苗，主下水。一名兰根。一名茹根。,生于原野路傍之宿根草，产楚地，今处处皆有。,白茅根为止血利尿要药，功能止吐血行瘀血，治消渴水肿，不伤胃气。,"味甘，性寒，无毒。

> 白茅根为啥利水？甘味药，甘淡渗利故利水。",普通钱半至三钱。,"不宜遇铁。胃寒脾湿者忌之。

> 胃寒不用白茅根。白茅根性微寒，所以胃寒脾湿就别用了，胃寒的人吃几口就饱了，不爱吃饭。",下五淋，客热在肠胃，止渴，坚筋，妇人崩中。,,,"主妇人月经不匀，通血脉，淋沥。

> 治疗月经病。因为白茅根能活血化瘀。如果每月来月经肚子就胀得很硬，来完就没事了，这就是要活血化瘀，同时也要利水，可用白茅根。",,,,,,,,,,别录,大明,,,,,,,,178.白茅根.md
紫苑,味苦，温，无毒。治咳逆上气，胸中寒热结气，去蛊毒，痿厥，安五脏．一名青菀。,为山野多年生草本，产我国中部，庭园亦可栽植，其花美丽，根状似细辛，其质柔轫，入药。,紫苑为祛痰止咳要药，主治咳逆，痰涎，吐脓血，益肺气。,"味苦辛，性温，无毒。

> 为啥治疗咳嗽？味辛，入肺能散，味苦，能泻。性温，治疗寒性的咳嗽。

> 寒咳，吐血，用紫苑。",普通七分至钱半。,肺病咳逆喘嗽，皆阴虚肺热也，忌独用多用，即用亦须与二冬百部桑皮等苦寒药参用，方无害以其性温也。,疗咳唾脓血，止喘悸，五劳体虚，补不足，小儿惊痫。,,,治尸疰，补虚下气，劳气虚热，百邪鬼魅。,调中消痰，止渴润肌肤，添骨髓。,益肺气，主息贲。,,,,,,,,别录,甄权,大明,好古,,,,,,179.紫苑.md
紫草,味苦，寒，无毒。治心腹邪气，五疸，补中益气，利九窍，通水道。一名紫丹。,为山野自生之宿根草，园圃亦可栽种，产于寒地野生之根为良。,"紫草为痧痘要药，功能凉血，活血，透发解毒，治恶疮天花，麻疹及小儿疮疖与面皻。

> 寒药能不能用寒症呢？麻疹、水痘、恶疮都可用紫根。但要注意寒症不可，比如痘疹是凹进去的，发白的，那就是寒症，包括肠胃虚寒的都不能用。

> 但倪老师又说，禁忌嘛看看就好，如果小孩子发疹子很厉害，虽然虚寒下痢，不管他了，也照用，但你可以加点白术、附子么，把虚寒散掉。",紫草味甘咸，性寒，无毒。,普通二钱至三钱，大剂一两。,痘已出而红活及白陷，脾胃肠虚寒大便溏者忌服。,"通水道，疗肿胀满痛，以合膏疗小儿疮及面皻。

> 紫云膏。把紫根6碗水熬出来1碗水跟黄蜡调和到一起，可以外涂，治疗面疱，湿疣，癣。",,,治疮癣。,"淸血除邪。

> 收疮口。比如乳癌破洞流脓，也可用紫根通水道，活血，收疮口。",,,,,,,,,别录,甄权,灵胎,,,,,,,180.紫草.md
败酱,一名鹿肠．味苦，平，无毒。治暴热，火疮赤气，疥瘙，疽，痔，马鞍热气。生川谷。,处处有之，生川谷间。,"败酱草主治赤眼，障膜，弩肉，聤耳，痈肿结热，破凝聚血，化脓为水。

> 治疗眼疾。败酱草可以治疗眼疾，眼睛发红、角膜炎、白内障都可以。

> 治疗耳疾。‍‍聤耳，就是耳朵里面化脓，中耳炎。",味苦【或作咸】，性平（或作寒），无毒。,普通一二钱。,忌葱，性专下泄，无瘀者忌。,除痈肿，浮肿，结热，风痹不足，产后痛。,,,"治毒风瘰痹，破多年凝血，能化脓为水，产后诸病，止腹痛，余疹烦渴。

> 如何确认急性盲肠炎？急性盲肠炎西医往往会误诊，有时候开刀下去发现不是，病人白挨一刀。

> 中医确诊盲肠炎有以下：a关元穴外开3寸的地方很痛，这大约是盲肠的位置；‍b足三里下两寸是阑尾点，压上去，剧痛，那就是盲肠炎；c问大便如何，有的盲肠流脓堵在那里，食物都坏死在里面出不来，很久不大便，最终爆开，导致腹膜炎；

> 如何确认从盲肠炎转为腹膜炎？转腹膜炎之前，压到关元外三寸剧痛，爆开后，压力消除，就不痛了，但这个地方会发热。

> 一个医案。倪老师讲一个患者腹膜炎15年足不出户，西医没查出来怎么回事，来用中医的办法治疗，用大黄芒硝败酱草就清出来了，患者便秘很严重，连续吃了3个月大黄芒硝。

> 为何连吃3月大黄芒硝不会虚弱？因为这是以通为补，病人说吃了药，每天拉五六次，但体力一直在恢复。只要把原来不通的地方通开，吃下去的食物就会被吸收消化，所以体重、精气神都可以得到恢复。

> 败酱草治疗的腹痛是腹膜炎。甄权里讲的腹痛，就是腹膜炎，不要经痛来吃，而且治疗时候也是复方，比如会用到薏仁附子败酱散。

> 腹膜炎有两种。一种是盲肠破掉，一种是胆破掉，都可以用败酱草。

> 如何确认是实症？像上面的医案能重用大黄芒硝那么久，就是笃定是实症，如何判断实症呢？有东西在里面就是实，有实就会压痛，而且24小时不听的痛，如果是虚症一般会喜按，越按越舒服。",治血气心腹痛，破症结，催生落胞，血运鼻衄，吐血，赤白带下，赤眼障膜，弩肉，聤耳，疮疖疥癣，丹毒，排脓补瘘。,,,,,,,,,别录,甄权,大明,,,,,,,181.败酱草.md
白鲜皮,味苦寒，无毒，治头风，黄疸，咳逆淋漓，女子阴中肿痛。生川谷。,处处有之，以四川者为良。,白鲜皮主治头风黄疸，天行时疾。,"味苦，性寒，无毒。

> 白鲜皮性寒，用于热症。","钱半至三钱。

> 如果黄疸黄的很严重，加重剂量用3-5钱都可以。","不详

> 禁忌其实就是寒药不用于虚寒症，但一般黄疸也都是热症。","疗四肢不安，时行腹中大热，饮水欲走大呼，小儿惊痫，妇人产后余痛。

> 四肢不安，指的是走路、站起来都有问题，也可用白鲜皮。",,,"治一切热毒风，恶风，疮疥癣赤烂，眉发脱脆，皮肌急，壮热恶寒，解热黄，酒黄，急黄，谷黄，劳黄。

> 各种黄症。解热黄，酒黄，急黄，谷黄，谷黄就是吃坏肚子导致的黄，谷是五谷杂粮，劳黄是劳病，工作太辛苦所致，以上各种黄都可用白鲜皮。

> 突然的发黄。可能是胆堵到了，也可用白鲜皮。",通关节，利九窍，及血脉，通小肠水气，天行时疾，头痛眼疼，其花同功。,,,,,,,,,别录,甄权,大明,,,,,,,182.白鲜皮.md
酸浆,味酸，平，无毒。治热，烦满，定志，益气，利水道。产难，吞其实立产。生川泽及人家田园中，一名醋浆。又名洛神珠。灯笼草。,田园之中。,其苗，叶，根，茎皆为解热，排水药，治百日咳，黄疸，小便赤涩，果能催生。,"其根及苗味苦，性寒。酸浆果味酸，性平。

> 酸味药可以收敛。",一般一钱至四钱。,孕妇禁忌。,酸浆果主治烦热，定志益气，利水道，难产吞之，立产。,,,酸浆捣汁服，治黄病多效。,灯笼草治上气咳嗽，风热，明目，根茎花实并用。,酸浆果食之除热，治黄疸，尤宜小儿。,,,,,,,,别录,弘景,唐本,苏颂,,,,,,183.酸浆.md
紫参,味苦，寒，无毒。治心腹积聚，寒热邪气。通九窍，利大小便。治牛病。生山谷。一名牡蒙。,珍珠菜之地下茎谓之紫参，多产于深山溪涧之旁，色紫黑。,紫参为破血通经要药，功能治心腹寒热积聚，产后恶露不行。,味苦，性寒，无毒。,普通一钱至三钱。,"畏辛夷。

> 紫参是寒药，对症的是热症，寒症就别用了。","疗肠胃大热，唾血衄血，肠中聚血，廱肿诸疮，止渴益精。

> 破血通经的药。别录讲到紫参可以治疗胃肠大热，破血，吐血。包括咳逆，肺部有淤血也可以用。",,,"治心腹坚胀，散瘀血，治妇人血闭不通。

> 甄权说心腹坚胀，眩晕，妇人月经不来都能用紫参。",主狂疟温疟，鼽血，汗出，治血痢。,,,,,,,,,别录,甄权,好古,,,,,,,184.紫参.md
槀本,一名地新。味辛，温，无毒。治妇人疝瘕，阴中寒肿痛，腹中急，除风头痛，长肌肤，悦颜色。生山谷。名鬼卿。,野生草本。,"鬼卿为祛风寒镇痛要药，治大寒犯脑头痛齿亦痛，女人阴寒肿痛，体肤风湿。

> 治疗各种痛。头痛、牙痛、女人阴部痛。","味苦辛，性温。

> 苦辛药。苦味能泻，辛味能散，所以能祛风，祛风寒，镇痛。",普通一钱至三钱。,热病头痛，血虚头痛，均忌服。,,,,头面身体皮肤风湿。,"治皮肤疵皯，酒皻，粉刺，癫疾。

> 多用在面部。比如脸上有斑，酒槽鼻都可以用。",治太阳头痛，巅顶痛，大寒犯脑，痛连齿颊。,"头屑干洗—槀本，白芷等份共末，夜擦旦梳，垢自去。

> 去头屑。可以白芷+藁本混在一起用，去头屑，这是经验方，大家可以试试。",,,,,,,别录,东垣,大明,元素,附方,,,,,185.槀本.md
石苇,味苦，平，无毒。治劳热邪气，五癃，闭不通，利小便水道。生山谷石上。,产我国山西安徽福建等地，多生山中石上及阴湿之地，他处亦多有之，叶入药。,石苇为利尿治淋要药，主清肺火以滋源，通膀胱以利水，益精气，治淋闭。,味甘，（或作苦），性寒，（或作平），无毒。,普通一至二钱。,制丹砂矾石，得菖蒲滑石射干良。,止烦下气，通膀胱满，补五劳，安五脏，去恶风，益精。,,,治淋沥遗溺。,炒末冷酒调服，治发背。,,,,,,,,,别录,日华,苏颂,,,,,,,186.石苇.md
萆薢,味苦，平，无毒。治腰背痛，强骨节，风寒湿周痹，恶疮不瘳，热气。生山谷。,处处有之。,"入足阳明厥阴，祛风去湿，以固下焦，补肝虚，坚筋骨，益睛明目。恶疮梅毒及淋浊。

> 用于治疗梅毒的药。本文讲的萆薢是一个治疗没毒的药，还有土茯苓也会用到。","甘苦性平。功能除浊分清。

> 苦味能坚，可以治疗腰背痛，全身关节痛。",有黄白二种，黄长硬，白虚软，软者佳。一般用四至五钱，大剂量用一两。,下焦有寒之人忌用。阴虚内热者禁服。,"阴痿失溺，老人五缓，关节老血。

> 啥叫老人五缓？五是个虚词，就是老人动作缓慢了，走路、坐下、站起来、讲话都很慢。

> 为啥萆薢是白色的要可以治疗肝病？它的颜色是白中有一点点黄，就是金多土少，金可以制木，就如同砍树要用斧头一样，肝脏里面脏东西太多，就相当于树太密了，需要剪枝，所以要靠这些色白入肺属金的药来疏肝。",,,主治风寒湿痹。腰痛久冷，关节老血。膀胱宿水，阴痿，茎痛，遗浊，痔瘘，恶疮。,"冷气节痹，腰脚瘫缓不遂，手足惊挚，男子腰痛，久冷，膀胱宿水。

> 治疗脚无力。脚无力就是肾虚，补肾的药，除了本药，巴戟天、肉苁蓉也可以，硫磺力量更强，吃一钱硫磺，相当于吃十根肉苁蓉，草木类的药跟金石类的比还是不够彪悍。",,,,,,,,,别录,本草,甄权,,,,,,,187.萆薢.md
白薇,味苦，平，无毒。治暴中风，身热，肢满，忽忽不知人。狂惑，邪气，寒热，酸疼，温疟洒洒、发作有时。生平原、川谷。,产陕西及关外，生平原川谷间，茎叶俱青，根黄白色入药。,"白薇为凉血退热要药，功能清虚火，除胃热，主治身热肢满，风温灼热，汗出热不退，妇人身热，伤中淋露。

> 啥叫凉血的药？血太热的时候，血会一直往上冲，冲到脸都是红的，西医叫血压高，中医叫血热，这时候就需要凉血的药。

> 是否高血压都用白薇呢？不是，有的人脸不红也高血压啊，所以血热跟高血压不完全是一回事，在此只针对脸胀得又红又热的那种症状来用。","味苦咸，性平，无毒。阳明冲任之药。

> 特别注明是阳明、冲脉、任脉的药。我们学了快200个药，很少有特别注明是哪条经脉的药，所以白薇的这个特点要有印象。",普通一钱至二钱。,恶大黄，大戟，山茱，姜枣。,疗伤中淋露，下水气，利阴气，益精。,,,治惊邪风狂痣病，百邪鬼魅。,"主治中风，身热支满，忽忽不知人，血虚，热淋，温疟，洗洗寒热酸痛。妇人伤中淋露，产虚烦呕。

> 中风不知人。这就说血热的人都晕过去神志不清了，开始不认识人了，这时候赶紧凉血，用白薇可以，十宣放血+针涌泉穴也可以，",,,,,,,,,别录,弘景,本草,,,,,,,188.白薇.md
水萍,味辛，寒，无毒．治暴热身痒，下水气，胜酒，长须发，止消渴。久服轻身。生池泽水上．一名水花或浮萍。,处处有之，浮生于河泽水面．无根，叶大而面青背紫者谓之浮萍，有须根数条。,"水萍为解热，发汗，利水，祛湿药。能消皮肤肿痒，治水肿，风疹，丹毒，小便不利，目赤翳膜，外治敷疮肿。

> 浮萍为啥利水？还是以意得知，浮萍浮在水面，它根的吸水性很强，所以排水的力量就很强，又是性寒的药，所以能解热、发汗、利水。

> 浮萍发汗不可跟麻黄桂枝比。它能发一点点汗，发微汗可以用它，所以对浮在皮肤的风疹效果好。",水萍味辛，性寒，无毒。,"普通八分至二钱。

> 浮萍很轻的，开一钱就一大堆。","发汗力猛，证非大实大热者，不可轻用，表虚自汗者尤忌。

> 倪老师说单味浮萍发不了汗，要组合的。",主风湿，麻痹，脚气，打扑损伤，目赤翳膜，口舌生疮，衄血。,,,捣汁服，主水肿，利小便。,治热毒，风热，热狂，熁肿毒，汤火伤，风疹。,"下气，以沐浴生毛发。

> 刘元素说用浮萍洗头能生头发，那你洗头就好，别洗澡。","其性清浮，治在肌表。

> 浮萍之浮‍‍‍。因为浮萍是浮在水面，所以它的疗效在肌肤表面是最好的。","水气洪肿——小便不利者，浮萍日干为未，每服方寸匕，日二。

身上虚痒——浮萍末一钱，以黄芩一钱，用四物汤煎汤调下。",,,,,,别录,藏器,大明,元素,灵胎,附方,,,,189.水萍.md
王瓜,味苦，寒，无毒．治消渴，内痹，瘀血，月闭，寒热，酸疼。益气，愈聋。生平泽田野及人家垣墙间．一名土瓜。,产山东平泽田野，各地亦存栽种，多蔓生墙垣问，根及子入药。,"王瓜根主泻热，利水，行血，益气，治天行热疾，消渴，痞满，热结，黄疸变黑，妇女经闭。

> 土瓜用在闭经。这个药很苦，用的剂量大病人会呕吐。还要注意治疗闭经是正常女性不来月经的时候用，倘若是自然的闭经就不要用。土瓜之所以能治疗闭经，是因为它行血的力量很强，用在淤血导致的闭经疗效好。",味苦，性寒，无毒。（或作小毒）。,普通一至二钱。,"能使人吐下，不宜多服。

> 禁忌就是吃多了会吐会下痢，所以月经来了就不要吃了。","疗诸邪气，热结鼠瘘，散痈肿流血，妇人带下，下乳汁不通，止小便数不禁，逐四肢骨节中水，治马谷刺人疮。

> 下乳汁不通。就是乳汁下不来，月经也不来，土瓜根下去活血化瘀，奶水往下走，月经就来了。",,,"天行热疾，酒黄病，壮热心烦闷，热劳，排脓，消扑损瘀血，破症癖，落胎。

> 破症癖，落胎。还是用其活血化瘀的特性，可以治疗子宫肌瘤，卵巢囊肿，也可以落胎。",,,,,,,,,,别录,大明,,,,,,,,190.王瓜.md
地榆,味苦，微寒，无毒。治妇人乳痉痛、七伤、带下十二病，止痛，除恶肉，止汗气。消酒，明目，治金疮。生山谷。,生山间向阳之地，今处处平原川泽亦有之，根直而柔，入药。,"地榆为止血收敛要药，功能止吐血下血久痢，妇人崩带。

> 地榆止血。最常用的就是痔疮的出血，还有嘴巴里面出血，肝硬化之后门静脉破裂出血，胃癌出血。

> 注：大便出血，如果是鲜血那是近血，痔疮产生的血，如果是黑血，要注意可能是胃出血所致。",味苦【或作苦甘酸】，性微寒，无毒。,普通二钱至三至四钱。,性寒下行，脾胃虚寒作泄，白痢久而胃弱，胎产虚寒泄泻，血崩脾虚作泄，均忌，恶麦冬，丹砂，硫黄，雄黄。,止脓血诸瘘恶疮热疮．补绝伤，产后内塞，可作金疮膏，消酒除渴，明目。,,,止冷热痢，疳痢极效。,止吐血鼻衄，伤风，月经不止，血崩，产前后诸血疾，并水泻。,地榆首之气味厚，故行血更有力，尾之药味薄，故行血之力轻。,,,,,,,,别录,开宝,大明,容川,,,,,,191.地榆.md
海藻,味苦，寒，无毒．治瘿瘤气，颈下核，破散结气，痈肿，症瘕，坚气，腹中上下鸣，下十二水肿。生东海池泽。一名落首。,产海岛中，为藻类之产于海中者，种类颇多，入药用马尾藻。,"海藻为除热软坚要药，主瘿瘤瘰疬，治瘫肿老痰，通血脉，利小便。

> 海藻和昆布‍‍。这俩都是海里的，都是咸味，都能软坚，功效差不多，如果用昆布就不必再加海藻，用海藻就不必再加昆布。","味咸，性寒，无毒。

> 性寒，寒症不用，热症可用。","普通一钱至三钱。

> 三钱就比较多了，海藻很咸，用的多想吐。",脾家有湿者忌。,疗皮间积聚，暴溃瘤气，结热，利小便。,,,"辟百邪鬼魅，治气急心下满，疝气下坠，疼痛卵肿，去腹中幽幽作声。

> 去腹中幽幽作声。这个含义倪老师解释的很隐晦，大概是说海藻可以收敛欲望，绝对不是壮阳的。所以欲望躁动难抑可以吃点海藻，帮助稳定情绪。

> 消积的药。汉唐九十号消积丸就有海藻，有人因为甲亢变得肥胖水肿，最适合吃海藻。海藻能软坚，能利水，身上累积的东西全部消除掉，所以令人瘦。",海藻昆布皆生于水中，味微咸，又具草之质，是禀水木二气而生，故能清火润肝。,,,,,,,,,别录,甄权,容川,,,,,,,192.海藻.md
泽兰,一名龙枣。味苦，微温，无毒。治乳妇衄血，中风余疾，大腹水肿，身面四肢浮肿，骨节中水，金疮，痈肿疮脓。生诸大泽旁。一名虎兰。,生于溪涧或湿地，叶类薄荷，根紫黑色，叶与子根（地笋）皆入药。,"泽兰为女科要药，功能行血消水，主养血气，破宿瘀，消症瘕痈肿，胎前产后诸病。

> 泽兰多用在妇科。因为它能活血，行血，消水，排水，女人有腹部水肿，四肢水肿，关节水肿，但凡你看到一个女人很胖，身上有水肿，都可以用泽兰。女子产前的水肿也可用。","味苦甘，性微温，无毒。

